DoingBusinessAsName,PrincipalOfcrBusinessName,GrossReceiptsAmt,GroupReturnForAffiliatesInd,WebsiteAddressTxt,FormationYr,ActivityOrMissionDesc,VotingMembersGoverningBodyCnt,VotingMembersIndependentCnt,TotalEmployeeCnt,CYContributionsGrantsAmt,CYGrantsAndSimilarPaidAmt,CYBenefitsPaidToMembersAmt,CYSalariesCompEmpBnftPaidAmt,CYTotalProfFndrsngExpnsAmt,CYTotalFundraisingExpenseAmt,CYOtherExpensesAmt,CYTotalExpensesAmt,TotalAssetsBOYAmt,TotalAssetsEOYAmt,TotalLiabilitiesBOYAmt,TotalLiabilitiesEOYAmt,NetAssetsOrFundBalancesBOYAmt,DescribedInSection501c3Ind,ScheduleBRequiredInd,PoliticalCampaignActyInd,LobbyingActivitiesInd,DonorAdvisedFundInd,MoreThan5000KToOrgInd,MoreThan5000KToIndividualsInd,ProfessionalFundraisingInd,FundraisingActivitiesInd,GrantsToOrganizationsInd,GrantsToIndividualsInd,ScheduleJRequiredInd,GrantToRelatedPersonInd,BusinessRlnWithOrgMemInd,BusinessRlnWithFamMemInd,BusinessRlnWithOfficerEntInd,TerminateOperationsInd,PartialLiquidationInd,DisregardedEntityInd,RelatedEntityInd,RelatedOrganizationCtrlEntInd,TrnsfrExmptNonChrtblRltdOrgInd,ActivitiesConductedPrtshpInd,ScheduleORequiredInd,FilerEIN,TaxYear,PrincipalOfficerNm,SubjectToProxyTaxInd,TransactionWithControlEntInd,AllAffiliatesIncludedInd
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,46131765.0,True,WWW.ATCHISONHOSPITAL.ORG,1912,TO PROVIDE EXCELLENT HEALTH CARE AND IMPROVE THE QUALITY OF LIFE IN OUR COMMUNITY.,7.0,7.0,363.0,550293.0,0.0,0.0,23745414.0,0.0,0.0,19644622.0,43390036.0,49450839.0,50586575.0,34005467.0,33066826.0,15445372.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,480561974,2017,GARY R FOLL,True,True,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,2351618910.0,False,www.nm.org,1982,"Northwestern Memorial HealthCare's exempt purpose is to provide support to its hospitals, physician care practices, its Foundation and their affiliates.",20.0,17.0,4251.0,0.0,21172608.0,0.0,436723196.0,0.0,0.0,527677916.0,985573720.0,6619018872.0,7154079035.0,5573562232.0,6187629469.0,1045456640.0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,True,363152959,2017,GARY R FOLL,True,True,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,489212.0,False,WWW.MACIVERINSTITUTE.COM,2008,"TO ADVANCE THE IDEA THAT INDIVIDUAL FREEDOM, LIMITED GOVERNMENT, AND PERSONAL RESPONSIBILITY ARE THE BEST PRINCIPLES FOR THE DEVELOPMENT OF EFFECTIVE PUBLIC POLICY IN WISCONSIN",7.0,7.0,6.0,479673.0,0.0,0.0,380691.0,0.0,16938.0,183577.0,564268.0,179848.0,109074.0,12666.0,12984.0,167182.0,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,262639114,2017,BRETT HEALY,False,True,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,16129201.0,True,N/A,2008,INSPIRES AND PREPARES STUDENTS TO BECOME COMMUNITY-MINDED BUSINESS LEADERS IN A GLOBAL SOCIETY THROUGH RELEVANT CAREER PREPARATION AND LEADERSHIP EXPERIENCES.,13.0,13.0,0.0,883422.0,192628.0,0.0,268188.0,0.0,47752.0,15037809.0,15498625.0,9136117.0,9773701.0,43107.0,37771.0,9093010.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,237254290,2017,NOT APPLICABLE,True,True,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,938386.0,False,WWW.CHRISTIANACARE.ORG,1996,"CHRISTIANA CARE HEALTH INITIATIVES, INC. SERVES TO SUPPORT THE CHRISTIANA CARE HEALTH SYSTEM AND ADD VALUE TO THE COMMUNITY.",3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187646.0,2187646.0,1017020.0,1832678.0,728898.0,2793816.0,288122.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,510295186,2017,DOUGLAS AZAR,True,True,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,21671316.0,True,WWW.SCIFIRSTFORHUNTERS.ORG,2000,TO PROTECT THE FREEDOM TO HUNT AND TO PROMOTE WILDLIFE CONSERVATION WORLDWIDE.,304.0,302.0,135.0,1380874.0,2332815.0,0.0,6326394.0,0.0,1370455.0,5218638.0,13877847.0,15999706.0,15292686.0,7397111.0,6006384.0,8602595.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,860974183,2017,WILLIAM LAIRD HAMBERLIN,True,True,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,162209402.0,False,WWW.AIPAC.ORG,1963,"TO STRENGTHEN, PROTECT AND PROMOTE THE U.S. ISRAEL RELATIONSHIP IN WAYS THAT ENHANCE THE SECURITY OF ISRAEL AND THE U.S.",55.0,54.0,466.0,94496702.0,0.0,0.0,38567438.0,159015.0,17052397.0,63672170.0,102398623.0,125102348.0,128109746.0,48271237.0,49458057.0,76831111.0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,True,530217164,2017,HOWARD KOHR,True,False,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,103717349.0,True,www.fh.org,2006,FH Association is an organization of Christian motivation committed to helping the poor.,9.0,9.0,1.0,103463897.0,25298729.0,0.0,28975060.0,0.0,0.0,49102083.0,103375872.0,17697088.0,19670933.0,8035240.0,9721402.0,9661848.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,208424918,2017,Gary Edmonds,True,False,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,647775.0,True,N/A,2011,"SUPPORT LOCAL CHARITIES, INDIGENTS, AND VARIOUS CAMPS WITH MEDICAL CARE, EYE GLASSES, FOOD, SHELTER, AND SCHOLARSHIPS.",9.0,0.0,0.0,0.0,24851.0,0.0,0.0,0.0,0.0,11942.0,36793.0,15640.0,12216.0,4813.0,1526.0,10827.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,746075288,2017,ENEDINA VELA,True,False,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,206146645.0,False,WWW.JOBSOHIO.COM,2011,"TO PROMOTE ECONOMIC DEVELOPMENT, JOB CREATION, JOB RETENTION, JOB TRAINING, WORKFORCE DEVELOPMENT, AND THE RETENTION OF CURRENT AND RECRUITMENT OF NEW BUSINESS TO OHIO.",9.0,8.0,95.0,195000000.0,72468892.0,0.0,12835928.0,0.0,0.0,33263599.0,118568419.0,537853721.0,626905476.0,50617279.0,57232123.0,487236442.0,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,452798687,2017,JOHN MINOR,False,True,True
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,1309654.0,False,www.caldwellnightrodeo.com,1966,TO RUN A RODEO TO PROVIDE ENTERTAINMENT AND A SOURCE OF REVENUE TO THE COMMUNITY.,16.0,15.0,4.0,31573.0,114973.0,0.0,174094.0,0.0,0.0,933335.0,1222402.0,1505331.0,1545153.0,63943.0,60409.0,1441388.0,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,820128057,2017,JOHN MINOR,False,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,447015.0,False,N/A,2009,"63 THOMPSON STREET HDFC WAS ORGANIZED EXCLUSIVELY FOR THE PURPOSE OF DEVELOPING, OWNING AND OPERATING, ON A NON-PROFIT BASIS, A HOUSING PROJECT FOR PERSONS OF LOW INCOME.",3.0,0.0,1.0,0.0,60000.0,0.0,35685.0,0.0,0.0,421379.0,517064.0,9549723.0,9421074.0,10544371.0,10490483.0,-994648.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,270646479,2017,ADAM WEINSTEN,False,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,467825723.0,True,WWW.ROTARY.ORG,1911,"ROTARIANS PROMOTE INTEGRITY, GOOD WILL AND PEACE THROUGH FELLOWSHIP OF BUSINESS PROFESSIONALS.",19.0,17.0,358.0,73633864.0,272676.0,0.0,38598150.0,0.0,0.0,57013685.0,95884511.0,166700691.0,172445046.0,29866338.0,32353733.0,136834353.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,361707667,2017,JOHN P HEWKO,True,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,5723532.0,True,WWW.ARDAROC.ORG,2012,"TO PRESERVE, PROTECT, AND ENHANCE VACATION OWNERSHIP.",18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526531.0,3526531.0,7895801.0,8464842.0,127751.0,224215.0,7768050.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,461457252,2017,SANDRA DEPOY,True,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,3355432.0,True,WWW.ACMHCK.ORG,1964,"TO PROMOTE A FULLY RESOURCED SYSTEM THAT DELIVERS EFFICIENT, EFFECTIVE AND ACCOUNTABLE BEHAVIORAL HEALTHCARE ACCESSIBLE TO ALL KANSANS THROUGH LOCALLY GOVERNED COMMUNITY MENTAL HEALTH CENTERS, SUBSIDIARIES AND STRATEGIC PARTNERS.",26.0,26.0,5.0,335278.0,0.0,0.0,491605.0,0.0,0.0,840277.0,1331882.0,7722199.0,7722870.0,120467.0,138904.0,7601732.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,480876205,2017,KYLE KESSLER,True,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,4302945919.0,True,WWW.MIAMI.EDU,1925,"The University of Miami's mission is to educate and nurture students, to create knowledge through its comprehensive research programs, and to provide patient care services to our community and beyond.",69.0,58.0,25550.0,800273551.0,452892983.0,0.0,1783808870.0,557078.0,23574078.0,1187168451.0,3424427382.0,3805344338.0,3989960318.0,2064502313.0,1987160169.0,1740842025.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,590624458,2016,Julio Frenk,True,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,620186140.0,False,www.plan-international.org,1937,International development and humanitarian relief work to enable children who are at risk of poverty to achieve their potential.,11.0,11.0,283.0,618340700.0,255807725.0,0.0,174557124.0,425215.0,6995919.0,182328472.0,613118536.0,236951674.0,252356261.0,62653003.0,64374076.0,174298671.0,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,510169168,2016,ANNE-BIRGITTE ALBRECTSEN,False,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,98332854.0,True,www.earthjustice.org,1970,"We use the power of the law to protect health, preserve ecosystems, and combat climate change.",28.0,28.0,314.0,90058883.0,302195.0,0.0,34104037.0,325888.0,7261297.0,16832634.0,51564754.0,84009013.0,132970573.0,9777881.0,11279488.0,74231132.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,941730465,2016,Donnell Van Noppen,True,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,Dean M Harrison,68998908359.0,False,www.kp.org,1955,"TO PROVIDE HIGH-QUALITY, AFFORDABLE HEALTH CARE SERVICES TO IMPROVE THE HEALTH OF OUR MEMBERS AND THE COMMUNITIES WE SERVE.",14.0,13.0,27375.0,300.0,22235293.0,0.0,3131757564.0,0.0,0.0,47380535412.0,50534528269.0,19173143251.0,19931581625.0,16158533291.0,17249641027.0,3014609960.0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,True,941340523,2016,BERNARD J TYSON,False,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,MICHAEL M ALLEN,2180778649.0,False,WWW.OSFHEALTHCARE.ORG,1880,"In the spirit of Christ and the example of Francis of Assisi, the Mission of OSF Healthcare is to serve persons with the greatest care and love in a community that celebrates the gift of life.",9.0,5.0,16717.0,8620722.0,1153710.0,0.0,925065571.0,0.0,6943222.0,947837001.0,1874056282.0,3190122606.0,3296088110.0,2174363096.0,2057198791.0,1015759510.0,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,True,370813229,2016,BERNARD J TYSON,False,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,MICHAEL M ALLEN,264332.0,False,WWW.PITTSBURGHUNITED.ORG,2007,"PITTSBURGH UNITED STRIVES TO ADVANCE SOCIAL AND ECONOMIC JUSTICE IN THE PITTSBURGH REGION BY WORKING TO ENSURE THAT WORKING FAMILIES AND LOW AND MODERATE-INOCME COMMUNITIES SHARE IN THE PROSPERITY THAT IS GENERATED BY ECONOMIC GROWTH AND DEVELOPMENT. WE PROMOTE STRATEGIES THAT WILL BUILD HEALTHY AND SUSTAINABLE COMMUNITIES, RAISE STANDARDS FOR LOW WAGE WORKERS, AND FORGE A FAIR ECONOMY FOR ALL. WE USE INNOVATIVE COMMUNITY ORGANIZING, RESEARCH ADVOCACIES AND COMMUNICATIONS METHODS TO WIN PROGRESSIVE POLICY AND ORGANIZAING CAMPAIGNS.",12.0,12.0,17.0,264332.0,0.0,0.0,489517.0,0.0,7819.0,218055.0,707572.0,808113.0,361568.0,10563.0,7258.0,797550.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,208534071,2016,JENNIFER RAFANAN-KENNEDY,False,True,False
NEVADA ADVOCATES FOR PLANNED PARENT,MICHAEL M ALLEN,65051.0,False,N/A,1919,The organization's mission is to provide community service.,14.0,16.0,1.0,0.0,0.0,0.0,9303.0,0.0,0.0,42967.0,52270.0,12970.0,19284.0,238.0,0.0,12732.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,580202025,2016,JENNIFER RAFANAN-KENNEDY,True,False,False
NEVADA ADVOCATES FOR PLANNED PARENT,MICHAEL M ALLEN,181182.0,False,WWW.MISSMICHIGAN.ORG,1919,"PROMOTION OF GOODWILL THROUGHOUT STATE OF MICHIGAN, AND SELECTION OF GOODWILL AMBASSADOR FOR THE STATE OF MICHIGAN. PROMOTION OF EDUCATION THROUGHOUT THE STATE OF MICHIGAN AND THE GRANTING OF SCHOLARSHIPS TO WORTHY INDIVIDUALS.",6.0,6.0,0.0,0.0,34850.0,0.0,0.0,0.0,0.0,105073.0,139923.0,50466.0,102469.0,37098.0,52850.0,13368.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,381753186,2016,PAULA DEWALL,False,False,False
NEVADA ADVOCATES FOR PLANNED PARENT,MICHAEL M ALLEN,17738636144.0,True,www.UPMC.COM,2006,"HEALTHCARE, EDUCATION, AND RESEARCH",40.0,8.0,66202.0,274840231.0,180265880.0,0.0,6383397376.0,0.0,0.0,9924100352.0,16487763608.0,8546151463.0,9412315445.0,2708333443.0,3472433441.0,5837818020.0,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,True,False,False,True,208295721,2019,Edward T Karlovich,False,True,True
Boston Children's Hospital,MICHAEL M ALLEN,2250683519.0,True,www.childrenshospital.org,1982,"Provider of pediatric healthcare, education, research & community service",16.0,14.0,14847.0,573205044.0,12559169.0,0.0,1017848594.0,1292158.0,32597691.0,955115970.0,1986815891.0,6333481693.0,7478850382.0,2123101198.0,2913133641.0,4210380495.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,042774441,2019,Kevin B Churchwell MD,True,True,True
Boston Children's Hospital,MICHAEL M ALLEN,1490272328.0,True,WWW.ROTARY.ORG,1983,"ROTARIANS WORK TOWARD ADVANCING WORLD UNDERSTANDING, GOODWILL AND PEACE.",15.0,15.0,282.0,338796932.0,313549113.0,0.0,35352369.0,216526.0,21518704.0,25390032.0,374508040.0,1285533289.0,1264171245.0,135258105.0,137589297.0,1150275184.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,363245072,2019,JULIE BURKE,True,True,True
Boston Children's Hospital,MICHAEL M ALLEN,274899230.0,False,www.jdrf.org,1970,"Improving lives today and tomorrow by accelerating life-changing breakthroughs to cure, prevent and treat T1D and its complications. SEE SCHEDULE O, ATTACH. 1.",13.0,13.0,868.0,194074339.0,68847301.0,0.0,77701531.0,27446.0,34666848.0,46029373.0,192605651.0,244434766.0,268023077.0,128633286.0,134322376.0,115801480.0,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,True,231907729,2019,AARON KOWALSKI,False,False,True
Boston Children's Hospital,MICHAEL M ALLEN,23525709742.0,False,www.fidelitycharitable.org,1990,SEE SCHEDULE O,9.0,8.0,0.0,10716447620.0,7322344409.0,0.0,0.0,0.0,0.0,124923936.0,7447268345.0,31090336744.0,35369008813.0,113606336.0,137991811.0,30976730408.0,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,110303001,2019,PAMELA NORLEY,False,True,True
Boston Children's Hospital,MICHAEL M ALLEN,199396.0,False,www.smilescharity.org,2009,Smiles Charity is a non-profit organization founded to benefit charitable organizations that build homes for deserving families. Smiles Charity will donate its profits to build homes for wounded war veterans.,8.0,8.0,0.0,158655.0,29935.0,0.0,0.0,0.0,34451.0,42125.0,72060.0,385034.0,122603.0,385476.0,0.0,-442.0,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,271346553,2019,Jennifer Buchanan,False,True,True
