FilerEIN,TaxYear,GrantType,Recipients,CashGrant,NonCashAssistance,ValuationMethodUsedDesc,NonCashAssistanceDesc
954523231,2023,LA COUNTY HEALTH CARE LEADER ROUNDTABLES - PHASE 2,1,8000,,,
954523231,2023,LA COUNTY MANAGED CARE PLAN NEEDS ASSESSMENT SYNTHESIS,1,5733,,,
954523231,2023,LIMITED SERIES INNOVATION FUND PODCAST,1,55000,,,
954523231,2023,LISTENING TO BLACK CALIFORNIANS LGBTQIA+ ISSUE BRIEF,1,11300,,,
954523231,2023,LISTENING TO BLACK CALIFORNIANS PHASE II: ISSUE BRIEFS,1,34200,,,
954523231,2023,LISTENING TO BLACK CALIFORNIANS: WEBSITE LAUNCH & COMMUNITY EVENT EXECUTION,1,17250,,,
954523231,2023,LONG-TERM CARE REPORT UPDATE,1,32375,,,
954523231,2023,MATERNITY CARE IN CALIFORNIA 2023 UPDATE,1,17500,,,
954523231,2023,MEDICAID AND HOMELESSNESS POLICY CONSULTANT,1,14100,,,
954523231,2023,MEDI-CAL CONSUMER RESEARCH SUMMARY PAPER,1,8580,,,
954523231,2023,MEDI-CAL COVERAGE EXPANSION: DEVELOPING IMPACT RESEARCH,1,8150,,,
954523231,2023,MEDI-CAL EXPLAINED: FACT SHEETS,1,33425,,,
954523231,2023,MEDI-CAL PALLIATIVE CARE TARGETED HEALTH PLAN TECHNICAL ASSISTANCE,2,18856,,,
954523231,2023,MEETING SUPPORT: BIDDERS CALL FOR 'ADDRESSING ANTI-BLACK RACISM IN THE DELIVERY SYSTEM' REQUEST FOR PROPOSAL (RFP),1,2250,,,
954523231,2023,METHODOLOGY PLANNING: COMMUNITY SUPPORTS UTILIZATION IMPACT STUDY,1,750,,,
954523231,2023,ONE-DAY VIDEO SHOOT IN LONG BEACH,1,7650,,,
954523231,2023,OUTREACH FOR THE DIGNITY IN PREGNANCY AND CHILDBIRTH COURSE BRIEF SUMMARY,1,4063,,,
954523231,2023,PLANNING AND INITIAL DATA REVIEW: LISTENING TO BLACK CALIFORNIANS DATA ON OLDER ADULTS,1,2500,,,
954523231,2023,PLANNING FOR CULTIVATING OUTCOMES THROUGH EQUITY IN BEHAVIORAL TELEHEALTH VIDEOS,1,2500,,,
954523231,2023,PLANNING GRANT FOR AUDIO PROGRAMMING FOR INNOVATION FUND,1,3850,,,
954523231,2023,PLANNING GRANT: USING REAL-TIME HOSPITAL DATA AND ACUTE-TO-COMMUNITY HANDOFFS TO IMPROVE IDENTIFICATION AND ENGAGEMENT FOR ENHANCED CARE MANAGEMENT,1,60000,,,
954523231,2023,PLANNING PHASE: BUILDING CAPACITY OF SAFETY-NET PROVIDERS TO CARE FOR OLDER ADULTS,1,21150,,,
954523231,2023,PLANNING SUPPORT FOR IMPROVING ACCESS TO CARE: ADVANCING PRIMARY CARE,1,28488,,,
954523231,2023,PRIMARY CARE CAPITATION IN SELF-FUNDED ERISA PLANS IN CALIFORNIA: IMPLICATIONS FOR MULTI-PAYER ALIGNMENT,1,24400,,,
954523231,2023,PRIVATE EQUITY: CHALLENGES AND OPPORTUNITIES FOR STATE POLICYMAKERS,2,72700,,,
954523231,2023,PROCESS EVALUATION AND LESSONS LEARNED FROM COVERED CALIFORNIA FACILITATED ENROLLMENT IMPLEMENTATION (SB 260),1,20000,,,
954523231,2023,PROJECT MANAGEMENT FOR LISTENING TO BLACK CALIFORNIANS PHASE II,1,40775,,,
954523231,2023,PROJECT MANAGEMENT SUPPORT,1,4050,,,
954523231,2023,PROPOSAL REVIEW MANAGEMENT FOR P-7709,1,4900,,,
954523231,2023,RESEARCH & TECHNICAL ASSISTANCE: FINAL PUBLIC CHARGE RULE PHASE 2,1,2250,,,
954523231,2023,SACRAMENTO BRIEFINGS SUPPORT,1,100858,,,
954523231,2023,STRATEGIC AND SUSTAINABILITY PLANNING SUPPORT FOR CALIFORNIANS FOR THE ADVANCEMENT OF MIDWIFERY (CAM),1,44900,,,
954523231,2023,SUBJECT MATTER EXPERT FOR CALIFORNIAS PALLIATIVE CARE PROGRESS AND FUTURE PRIORITIES PROJECT,5,40776,,,
954523231,2023,SUBJECT MATTER EXPERT STIPEND - CALIFORNIA MEDI-CAL PHMI EVALUATION DESIGN,3,7500,,,
954523231,2023,SUBJECT MATTER EXPERTISE FOR TELEHEALTH INTERVIEWS,1,6000,,,
954523231,2023,TELEHEALTH EVIDENCE REVIEW EVENT SUPPORT,1,5063,,,
954523231,2023,TELEHEALTH EXPERIENCE INTERVIEWS PUBLICATION WRITING,1,20625,,,
954523231,2023,TELEHEALTH VIDEO SERIES,1,10004,,,
954523231,2023,"THE WEALTH OF CALIFORNIA HOSPITALS AND HEALTH SYSTEMS, FY22 UPDATE",2,12500,,,
954523231,2023,TRACKING AND REPORTING ON ENROLLMENT: WILSON ANALYTICS,1,23663,,,
954523231,2023,"TRENDS IN EMERGENCY DEPARTMENT UTILIZATION AND CAPACITY IN CALIFORNIA, 2011-2021",1,61600,,,
954523231,2023,TWO VIDEOS ON CULTIVATING OUTCOMES THROUGH EQUITY IN BEHAVIORAL TELEHEALTH,1,28000,,,
954523231,2023,"UNDERSTANDING HEALTH SYSTEMS COLLECTION AND USE OF RACE, ETHNICITY, LANGUAGE DATA",2,54075,,,
954523231,2023,"UNDERSTANDING HEALTH SYSTEMS COLLECTION AND USE OF RACE, ETHNICITY, LANGUAGE DATA: RESEARCH ASSOCIATE",1,3040,,,
954523231,2023,VIDEO CAPTURE FOR PALLIATIVE CARE PROGRESS AND FUTURE PATHWAYS PROJECT,1,1684,,,
954523231,2023,VIDEO EDITING FOR PALLIATIVE CARE PROGRESS AND FUTURE PATHWAYS PROJECT,1,19184,,,
954523231,2023,WEBINAR: HOW TO COMMUNICATE TO NEWLY ELIGIBLE IMMIGRANTS ABOUT MEDI-CAL IN 2024,1,5865,,,
954523231,2023,WRITING AND DEVELOPMENT OF NP AND MIDWIFERY REPORTS,1,13499,,,
616034815,2023,SCHOLARSHIPS,8,16000,,Other,SCHOLARSHIP FOR TUITION
135562401,2024,ECONOMIC ASSISTANCE,27,136405,,,
431634280,2024,EMERGENCY RELIEF,143,548784,0,,
131788491,2024,Guest Rooms,10583,715822,462428,FMV,Guest Rooms
131788491,2024,Transportation,7223,519346,,,
131788491,2024,Patient Support,2824,233996,123798,FMV,"Masks, Digital Therm., & Food"
271346553,2024,Specific Assist to Individuals,4,332386,,FMV,
821406555,2024,WPH SCHOOL OF NURSING SCHOLARSHIPS,56,102375,,N/A,N/A
821406555,2024,WPH MARY B. HARTLEY RN SCHOLARSHIP,2,20000,,N/A,N/A
821406555,2024,AHN SCHOLARSHIPS,14,46125,,N/A,N/A
821406555,2024,AGH ALUMNAE SCHOLARSHIPS,24,79378,,N/A,N/A
821406555,2024,AGH CHILDREN SCHOLARSHIPS,1,16000,,N/A,N/A
821406555,2024,AKMC SCHOOL OF NURSING SCHOLARSHIPS,1,5000,,N/A,N/A
237039405,2024,SCHOLARSHIPS,16150,25019679,,,
383952644,2024,SCHOLARSHIPS,557,4477451,,,
383952644,2024,MEDICAL STUDENT STIPENDS,686,3202797,,,
383952644,2024,RESEARCH GRANT SUBAWARDS,6,3863,,,
383952644,2024,CHARITABLE SUPPORT OF INDIVIDUALS,222,267607,,,
912153073,2024,SCHOLARSHIPS,237,9142341,,,
912153073,2024,FELLOWSHIPS,2156,119894213,,,
204560286,2024,EMERGING LEADERS FELLOWSHIP STIPEND,9,90000,,,
237014089,2024,CHARITABLE CONTRIBUTION,841,1983592,,,
237028846,2024,SCHOLARSHIPS,2796,1397771,0,,
912117699,2024,SCHOLARSHIPS,62,95710,,,
