FilerEIN,TaxYear,VolunteersInd,PaidStaffOrManagementInd,MediaAdvertisementsInd,MailingsMembersInd,PublicationsOrBroadcastInd,GrantsOtherOrganizationsInd,DirectContactLegislatorsInd,RalliesDemonstrationsInd,OtherActivitiesInd,OtherActivities,TotalLobbyingExpenditures,NotDescribedSection501c3Ind,GrantsOtherOrganizations,CorrectionMadeInd,FilingOrganizationsTotalTotLbbyExpendMnsLbbyngNonTx,Form4720FiledInd,LobbyingCeiling,GrassrootsCeilingAmt,OrganizationBelongsAffltGrpInd,AffiliatedGroupTotalTotLbbyExpendMnsLbbyngNonTxAmt,DirectContactLegislators,TotalExemptFunctionExpend,Form1120POLFiledInd,Form4720Filed4912TaxInd,SubstantiallyAllDuesNondedInd,OnlyInHouseLobbyingInd,AgreeCarryoverPriorYearInd,NonDeductibleLbbyngPltclTot,TaxableAmt,MailingsMembers,PoliticalExpenditures,DuesAssessments,NonDeductibleLbbyngPltclCY,AggregateReportedDuesNtc,VolunteerHoursCnt,Expended527Activities,InternalFundsContributed,MediaAdvertisements,PublicationsOrBroadcast,RalliesDemonstrations,Section4955OrganizationTax,Section4955ManagersTax
900656139,2019,0,0,0,1,0,0,1,0,0,,374312,0,,,,,,,,,374312,,,,,,,,,,,,,,,,,,,,,
951684089,2019,false,true,false,true,false,false,true,true,true,255181,516891,false,0,,,,,,,,258950,,,,,,,,,150,,,,,,,,0,0,2610,,
452641647,2019,,,,,,,,,,,,,,,0,,1446332,361583,,,,,,,,,,,,,,,,,,,,,,,,
943162074,2019,,,,,,,,,,,,,,,0,,365273,91317,X,,,,,,,,,,,,,,,,,,,,,,,
912153073,2019,,,,,,,,,,,,,,,,,1500000,375000,X,0,,,,,,,,,,,,,,,,,,,,,,
470466144,2019,,,,,,,,,,,,,,,62790,,1124265,281066,,,,,,,,,,,,,,,,,,,,,,,,
912117699,2019,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,,,,,,,,,,,,,,,
530116130,2019,,,,,,,,,,,,,,,,,,,,,,0,true,,true,false,false,,,,2971894,,,,5348,0,0,,,,,
133539048,2019,,,,,,,,,,,,,,,,,,,,,,5218622,true,,true,false,false,,,,6158498,,,,,5088622,130000,,,,,
540844477,2019,,,,,,,,,,,,,,,,,,,,,,31290,1,,,,,,,,,,,,,,31290,,,,,
226035498,2019,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,
571136023,2019,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
620757525,2019,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,,,,
136227614,2020,0,0,0,0,0,0,1,0,1,1500,2290,0,,,,,,,,,790,,,,,,,,,,,,,,,,,,,,,
135562401,2020,false,false,false,false,false,false,false,false,true,72488,72488,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364724966,2020,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
453358926,2020,false,false,false,true,false,false,true,false,true,1260000,1260000,false,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,
314379427,2020,0,1,0,0,0,0,1,0,1,46046,895932,0,,,,,,,,,849886,,,,,,,,,,0,,,,0,,,,,,0,0
900656139,2020,0,0,0,1,0,0,1,0,0,,359788,0,,,,,,,,,359788,,,,,,,,,,,,,,,,,,,,,
651253851,2020,false,true,false,true,false,false,true,false,false,0,1700,false,0,,0,,0,0,,,1700,,,,,,,,,0,,,,,,,,0,0,0,,
210650678,2020,0,1,0,0,0,0,1,1,1,7807,24931,0,,,,,,,,,15058,,,,,,,,,,,,,,,,,,,2066,,
421435199,2020,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
912153073,2020,,,,,,,,,,,,,,,,,3000000,750000,X,0,,,,,,,,,,,,,,,,,,,,,,
742244826,2020,,,,,,,,,,,,,,,250000,,1500000,375000,,,,,,,,,,,,,,,,,,,,,,,,
340714585,2020,,,,,,,,,,,,,,,,,3000000,750000,X,0,,,,,,,,,,,,,,,,,,,,,,
